Baralho,Enunciado,A,B,C,D,E,RESPOSTA
JS,"Qual o tipo das variáveis nome e idade, respectivamente, no código abaixo? 

let nome = “Fulano”
let idade = 27",Boolean e Number,String e Number,String e String,Number e Object,String e Null,B
JS,"Qual o tipo das variáveis endereco e pessoa, respectivamente, no código abaixo? 

const endereco = “Av. Roraima”
const pessoa = {
    nome: “Fulano”,
    sobrenome: “De Tal”
};
",String e Boolean,Number e Object,String e String,String e Object,String e Null,D
JS,"Qual o tipo das variáveis notas e aprovado, respectivamente, no código abaixo? 

let notas = [7, 9, 6, 10]
let aprovado = true",Boolean e String,Number e Boolean,Object e Boolean,Object e String,Number e Object,C
JS,"O que será mostrado no console a partir do código abaixo?

const pessoa = {
    nome: “Fulano”,
    sobrenome: “De Tal”
};
console.log(pessoa.nome)
",pessoa.nome,pessoa,Fulano De Tal,Fulano,nome,D
JS,"O que será mostrado no console a partir do código abaixo?

function print(a = 5){
    console.log(a)
}
print()
print(42)
",42 e 5,a e 42,5 e 42,""" "" e 42","5 e "" """,C
JS,"O que deverá ser preenchido no código abaixo para não ocorrer um erro?

if (true){
    _____ a = 5
}
console.log(a)
",let,var,const,function,object,B
JS,"O que será mostrado no console a partir do código abaixo?

let a = 2
if (true) {
    let a = 5
    console.log(a)
}
console.log(a)
",5 e 5,5 e 2,2 e 2,2 e 5,"5 e ""a""",B
JS,"O que será mostrado no console a partir do código abaixo?

const idade = 42
idade = 45
console.log(idade)",42,45,idade,const,Erro,E
JS,"O que será mostrado no console a partir do código abaixo?

const vetor = [3, 5, 7]
vetor.foo = 'Olá'
for (let i in vetor) {
    console.log(i)
}
","0, 1, 2, foo","0, 1, 2, 3","3, 5, 7, 'Olá'","3, 5, 7, foo","0, 1, 2, 'Olá'",A
JS,"O que será mostrado no console a partir do código abaixo?

const vetor = [0, 3, 9]
for (let i of vetor) {
    console.log(i)
}","0, 1, 2","0, 3, 9","1, 2, 3","3, 2 ,1","9, 3, 0",B
JS,"O que será mostrado no console a partir do código abaixo?

const a = [1, 2]
const b = [3, 4]
const c = [...a, ...b]
console.log(c)
","[1, 2, 3, 4]","[[1, 2], [3, 4]]","[a, b]",undefined,Erro,A
JS,"Qual será o valor de x e y a partir do código abaixo?

const jogo = ‘Code Rush’
x = jogo.includes(‘Code’)
y =jogo.includes(‘rush’)
",tru e true,false e false,false e true,true e false,"""Code"" e ""rush""",D
JS,"O que será mostrado no console a partir do código abaixo?

console.log(‘Abc’.repeat(3))",AbcAbcAbc,AbcAbcAbcAbc,Abc,Abc3,Abc333,A
JS,"O que será mostrado no console a partir do código abaixo?

const obj1 = {a: 1}
const obj2 = {b: 2}
const obj3 = Object.assign(
    {}, obj1,obj2
)
console.log(obj3)","{a: 1, b: 2}",{},"{1, 2}",12,undefined,A
JS,"O que será mostrado no console a partir do código abaixo?

const vetor1 = [0, 3, 7]
const vetor2 = [...vetor1, 9]
console.log(vetor2)","[0, 3, 7]","[[0, 3, 7], 9]","[0, 3, 7, 9]",[9],undefined,C
JS,"O que será mostrado no console a partir do código abaixo?

let [a, b, c] = [‘Maria’, 27, true]
console.log(b)
",‘Maria’,27,true,undefined,Erro,B
JS,"O que será mostrado no console a partir do código abaixo?

const nome = “Ana”
console.log(nome + 2 * 2)",Ana22,Ana4,Ana2Ana2,AnaAnaAnaAna,NaN,B
JS,"O que será mostrado no console a partir do código abaixo?

if(0)
    console.log(‘a’)
else if (“0”)
    console.log(‘b’)
else
    console.log(‘c’)
","""a""","""b""","""c""",0,"""0""",B
JS,"O que será mostrado no console a partir do código abaixo?

let [a, b, ...resto] = [25, true,    
  ‘Fulano’, false]
console.log(resto)
","""Fulano""",false e false,"[""Fulano"", false]",[],undefined,C
JS,"O que será mostrado no console a partir do código abaixo?

let a = true;
let b = false;
[a, b] = [b, a];
console.log(a)
console.log(b)",false e false,true e true,false e true,true e false,"[true, false]",C
JS,"Qual o valor de nome a partir do código abaixo?

const nome = “Fulano”
nome = nome.slice(1, 3)
","""Ful""","""Fu""","""ul""","""ula""","""ulan""",C
JS,"Qual será o valor de nome a partir do código abaixo?

const nome = “Fulano”
nome = nome.substr(2, 4)
","""ula""","""ulano""","""la""","""lano""","""Fu""",D
JS,"Qual o valor da variável x no código abaixo?

let x = !!“false” === !!“true”;",true,false,"""true""","""false""",null,A
JS,"O que deve ser preenchido no código abaixo?

______ function f() {
    return 1;
}
f().then(alert);",static,return,promise,await,async,E
JS,"Qual o valor da variável resultado no código abaixo?

const soma = (a, b) => a + b
const resultado = soma(2, 6)
",2,4,6,8,undefined,D